Time,Source,Target,Amount,Location,Type,Labels
1580,S11119,T1013,18.31,L102,TP108,2
1581,S10131,T1032,180.94,L102,TP123,2
1582,S11120,T1000,96.15,L100,TP100,2
1583,S11116,T1013,5.26,L102,TP108,2
1584,S11121,T1000,16.94,L100,TP100,2
1585,S11122,T1003,85,L100,TP100,2
1586,S11123,T1000,14.66,L100,TP100,2
1587,S10029,T1000,10,L100,TP100,0
1588,S11124,T1000,10.06,L100,TP100,2
1589,S11125,T1003,15.58,L100,TP100,2
1590,S10206,T1019,23.56,L107,TP108,0
1591,S11126,T1003,21,L100,TP100,2
1592,S10233,T1008,11.92,L100,TP105,2
1593,S11127,T1003,31.91,L100,TP100,2
1594,S10026,T1008,11.91,L100,TP105,2
1595,S10386,T1002,57,L100,TP102,2
1596,S10030,T1002,53,L100,TP102,2
1597,S10278,T1003,19.61,L100,TP100,2
1598,S10324,T1008,11.93,L100,TP105,2
1599,S11128,T1000,229.26,L100,TP100,2
1600,S10064,T1013,23.1,L102,TP108,0
1601,S10385,T1013,21,L102,TP108,0
1602,S10071,T1004,274.41,L102,TP114,0
1603,S11129,T1013,6.6,L102,TP108,2
1604,S11130,T1013,0,L102,TP108,2
1605,S10340,T1013,12.92,L102,TP108,2
1606,S10030,T1002,50,L100,TP102,2
1607,S10140,T1000,12.01,L100,TP100,0
1608,S11131,T1000,160.19,L100,TP100,2
1609,S11132,T1000,399.5,L100,TP100,2
1610,S11133,T1013,6.72,L102,TP108,2
1611,S11134,T1002,56,L100,TP102,2
1612,S10672,T1013,6.34,L102,TP108,2
1613,S11135,T1022,11.86,L102,TP118,2
1614,S10206,T1013,14,L102,TP108,0
1615,S11136,T1002,56,L100,TP102,2
1616,S10206,T1019,14.92,L107,TP108,0
1617,S10385,T1013,8.36,L102,TP108,0
1618,S10144,T1011,15.15,L102,TP108,0
1619,S11137,T1105,0,L134,TP114,2
1620,S11138,T1013,32.01,L102,TP108,2
1621,S10073,T1064,248.87,L102,TP110,0
1622,S11139,T1037,90,L100,TP126,2
1623,S10429,T1013,8.17,L102,TP108,2
1624,S11140,T1004,4,L102,TP116,2
1625,S11141,T1013,17.9,L102,TP108,2
1626,S10071,T1004,136.15,L102,TP114,0
1627,S10147,T1065,8.22,L115,TP135,0
1628,S11142,T1013,13.3,L102,TP108,2
1629,S11143,T1004,41.73,L102,TP148,2
1630,S10071,T1004,0.06,L102,TP114,0
1631,S10073,T1058,34.08,L108,TP110,0
1632,S11144,T1037,172.17,L100,TP126,2
1633,S10071,T1004,68.08,L102,TP114,0
1634,S11145,T1013,7.24,L102,TP108,2
1635,S10385,T1013,34.14,L102,TP108,0
1636,S11146,T1004,14.8,L102,TP114,2
1637,S10078,T1008,11.99,L100,TP105,2
1638,S11147,T1042,29.91,L135,TP112,2
1639,S10733,T1046,37,L106,TP108,2
1640,S11148,T1046,130,L106,TP108,2
1641,S11149,T1046,211,L106,TP108,2
1642,S11150,T1045,7.77,L106,TP108,2
1643,S11151,T1106,6,L106,TP108,2
1644,S11152,T1046,7800,L106,TP108,2
1645,S11153,T1046,30,L106,TP108,2
1646,S11058,T1013,28.84,L102,TP108,2
1647,S10073,T1021,4.93,L123,TP117,0
1648,S10073,T1021,27.78,L123,TP117,0
1649,S10085,T1008,11.9,L100,TP105,2
1650,S10085,T1008,11.94,L100,TP105,2
1651,S11154,T1004,9.71,L102,TP124,2
1652,S11155,T1003,150.69,L100,TP100,2
1653,S11156,T1004,7,L102,TP116,2
1654,S11157,T1032,9,L102,TP123,2
1655,S11158,T1107,48,L110,TP126,2
1656,S11159,T1108,69.94,L110,TP114,2
1657,S11160,T1015,4,L100,TP110,2
1658,S11161,T1003,41.35,L100,TP100,2
1659,S10817,T1000,31.92,L100,TP100,2
1660,S10542,T1038,2,L102,TP125,2
1661,S11162,T1109,130,L136,TP118,0
1662,S10808,T1011,6,L102,TP108,0
1663,S10808,T1011,7,L102,TP108,0
1664,S10808,T1011,3,L102,TP108,0
1665,S10808,T1011,4,L102,TP108,0
1666,S11163,T1019,23.65,L107,TP108,2
1667,S11164,T1000,206.17,L100,TP100,0
1668,S11164,T1000,206.1,L100,TP100,1
1669,S11165,T1004,93.5,L102,TP149,2
1670,S11166,T1008,11.91,L100,TP105,2
1671,S11167,T1004,0.07,L102,TP114,2
1672,S11168,T1000,373.5,L100,TP100,2
1673,S11169,T1110,1128.44,L110,TP126,2
1674,S11170,T1110,1140.1,L110,TP126,2
1675,S11171,T1004,6,L102,TP116,2
1676,S11172,T1038,1.5,L102,TP125,2
1677,S11173,T1000,286.82,L100,TP100,2
1678,S11174,T1022,9,L102,TP118,2
1679,S11046,T1111,12.72,L102,TP125,0
1680,S11175,T1003,50,L100,TP100,2
1681,S11166,T1008,11.95,L100,TP105,2
1682,S11166,T1008,11.97,L100,TP105,2
1683,S11176,T1000,291.24,L100,TP100,2
1684,S11177,T1000,27.9,L100,TP100,2
1685,S10385,T1013,5.49,L102,TP108,0
1686,S10385,T1013,7.1,L102,TP108,0
1687,S11178,T1022,1,L102,TP118,2
1688,S11179,T1000,207.9,L100,TP100,2
1689,S11166,T1008,11.9,L100,TP105,2
1690,S10385,T1013,70,L102,TP108,0
1691,S10385,T1013,70,L102,TP108,0
1692,S11049,T1037,168.56,L100,TP126,0
1693,S11180,T1003,254,L100,TP100,2
1694,S10867,T1008,11.99,L100,TP105,2
1695,S11166,T1008,11.9,L100,TP105,2
1696,S11181,T1009,13.6,L104,TP106,2
1697,S11182,T1010,0,L102,TP150,0
1698,S11166,T1008,11.98,L100,TP105,2
1699,S10867,T1008,11.93,L100,TP105,2
1700,S10867,T1008,11.99,L100,TP105,2
1701,S11183,T1012,42.96,L105,TP106,2
1702,S11184,T1003,44.64,L100,TP100,2
1703,S11185,T1112,10,L102,TP151,2
1704,S11186,T1000,79.66,L100,TP100,2
1705,S11187,T1022,1.71,L102,TP118,2
1706,S11188,T1002,52.3,L100,TP102,2
1707,S11189,T1037,1229,L100,TP126,2
1708,S11166,T1008,11.98,L100,TP105,2
1709,S11190,T1009,110,L104,TP106,2
1710,S11191,T1000,62.91,L100,TP100,2
1711,S11101,T1000,108.5,L100,TP100,2
1712,S11192,T1000,80.99,L100,TP100,2
1713,S11193,T1009,102.5,L104,TP106,2
1714,S10502,T1004,341,L102,TP152,2
1715,S11194,T1022,1.98,L102,TP118,2
1716,S10031,T1009,58,L104,TP106,2
1717,S10901,T1041,64,L100,TP102,0
1718,S10073,T1113,101.9,L137,TP130,0
1719,S11195,T1009,225.1,L104,TP106,2
1720,S10040,T1000,0.32,L100,TP100,2
1721,S11196,T1009,155.5,L104,TP106,2
1722,S10073,T1113,88.97,L137,TP130,0
1723,S11197,T1000,31.91,L100,TP100,2
1724,S11198,T1114,248.45,L104,TP106,2
1725,S11199,T1086,8,L102,TP141,2
1726,S11200,T1000,26.3,L100,TP100,2
1727,S11166,T1008,11.98,L100,TP105,2
1728,S11201,T1015,5,L100,TP110,2
1729,S11202,T1022,8,L102,TP118,2
1730,S11203,T1008,11.96,L100,TP105,2
1731,S11204,T1003,52.95,L100,TP100,2
1732,S11205,T1026,21.81,L110,TP100,2
1733,S11203,T1008,11.9,L100,TP105,2
1734,S10040,T1000,18.34,L100,TP100,2
1735,S11206,T1115,19,L100,TP153,0
1736,S11206,T1115,40,L100,TP153,0
1737,S11102,T1116,56.7,L138,TP102,0
1738,S11102,T1019,90,L107,TP108,0
1739,S11102,T1019,6.3,L107,TP108,0
1740,S11203,T1008,11.98,L100,TP105,2
1741,S11207,T1117,47.5,L110,TP106,2
1742,S11208,T1003,33.95,L100,TP100,2
1743,S11166,T1008,11.9,L100,TP105,2
1744,S11209,T1012,28.77,L105,TP106,2
1745,S11166,T1008,11.91,L100,TP105,2
1746,S11210,T1003,81.23,L100,TP100,2
1747,S10085,T1008,11.95,L100,TP105,2
1748,S11166,T1008,11.91,L100,TP105,2
1749,S10085,T1008,11.94,L100,TP105,2
1750,S10867,T1008,11.93,L100,TP105,2
1751,S11211,T1022,1.93,L102,TP118,2
1752,S11212,T1000,30.48,L100,TP100,2
1753,S11213,T1105,1,L134,TP114,2
1754,S11214,T1016,0.46,L106,TP111,2
1755,S11215,T1003,10.91,L100,TP100,2
1756,S11102,T1019,300.91,L107,TP108,0
1757,S11216,T1015,60.24,L100,TP110,2
1758,S11217,T1000,49.75,L100,TP100,2
1759,S11218,T1000,46.7,L100,TP100,2
1760,S11219,T1118,4.92,L102,TP107,2
1761,S11195,T1009,150,L104,TP106,2
1762,S11220,T1037,80,L100,TP126,2
1763,S11221,T1000,4.84,L100,TP100,2
1764,S11222,T1080,212.06,L110,TP100,2
1765,S11223,T1003,8.83,L100,TP100,2
1766,S11181,T1009,13,L104,TP106,2
1767,S10040,T1000,19.96,L100,TP100,2
1768,S11224,T1038,25.14,L102,TP125,2
1769,S11225,T1000,48.53,L100,TP100,2
1770,S11226,T1008,11.9,L100,TP105,2
1771,S10011,T1002,57,L100,TP102,2
1772,S11227,T1000,260.18,L100,TP100,2
1773,S10040,T1000,18.77,L100,TP100,2
1774,S11228,T1003,160,L100,TP100,2
1775,S10327,T1003,66,L100,TP100,2
1776,S11229,T1003,70.87,L100,TP100,2
1777,S11230,T1000,1791.1,L100,TP100,2
1778,S11231,T1003,63.94,L100,TP100,2
1779,S10077,T1008,11.9,L100,TP105,2
1780,S11232,T1000,112.29,L100,TP100,2
1781,S11233,T1000,53.48,L100,TP100,2
1782,S11234,T1000,18.57,L100,TP100,2
1783,S11235,T1037,7,L100,TP126,2
1784,S10077,T1008,11.97,L100,TP105,2
1785,S10324,T1008,11.94,L100,TP105,2
1786,S11236,T1000,14.7,L100,TP100,2
1787,S11237,T1003,50.12,L100,TP100,2
1788,S11238,T1026,109.1,L110,TP100,2
1789,S11239,T1003,7.04,L100,TP100,2
1790,S11240,T1037,1288,L100,TP126,2
1791,S11241,T1000,65.6,L100,TP100,2
1792,S11242,T1032,5,L102,TP123,2
1793,S11243,T1003,9,L100,TP100,2
1794,S11244,T1000,45.2,L100,TP100,2
1795,S11245,T1047,59,L100,TP116,2
1796,S11246,T1061,260,L100,TP116,2
1797,S11247,T1000,51.77,L100,TP100,2
1798,S11247,T1000,51.78,L100,TP100,2
1799,S11200,T1000,47.27,L100,TP100,2
1800,S11248,T1037,100,L100,TP126,2
1801,S11249,T1003,15.8,L100,TP100,2
1802,S11250,T1000,68.65,L100,TP100,2
1803,S11251,T1000,131.36,L100,TP100,2
1804,S11252,T1000,130.84,L100,TP100,2
1805,S11253,T1022,3,L102,TP118,2
1806,S11254,T1000,56.73,L100,TP100,2
1807,S11255,T1000,24.24,L100,TP100,2
1808,S11256,T1041,108,L100,TP102,2
1809,S11257,T1019,24.11,L107,TP108,2
1810,S10029,T1000,55.2,L100,TP100,0
1811,S10029,T1000,55.27,L100,TP100,0
1812,S11258,T1003,19.54,L100,TP100,2
1813,S11259,T1119,1,L139,TP103,0
1814,S11260,T1088,16.7,L100,TP142,2
1815,S11261,T1025,8,L102,TP123,2
1816,S11262,T1022,1.69,L102,TP118,2
1817,S11263,T1022,9,L102,TP118,2
1818,S10808,T1120,160,L102,TP151,0
1819,S10808,T1120,150,L102,TP151,0
1820,S10808,T1120,500,L102,TP151,0
1821,S11264,T1000,23.02,L100,TP100,2
1822,S10808,T1120,160,L102,TP151,0
1823,S10808,T1120,180,L102,TP151,0
1824,S10808,T1120,100,L102,TP151,0
1825,S11265,T1041,40,L100,TP102,2
1826,S10612,T1003,88.51,L100,TP100,2
1827,S10266,T1048,166.72,L100,TP116,0
1828,S10612,T1003,31.39,L100,TP100,2
1829,S11266,T1083,116.53,L106,TP110,2
1830,S11267,T1000,43.12,L100,TP100,2
1831,S11268,T1003,270.36,L100,TP100,2
1832,S11164,T1000,206.12,L100,TP100,0
1833,S11164,T1000,206.17,L100,TP100,1
1834,S11269,T1015,0,L100,TP110,2
1835,S11270,T1022,6,L102,TP118,2
1836,S11125,T1003,6.45,L100,TP100,2
1837,S11271,T1083,47.38,L106,TP110,2
1838,S11272,T1003,24.3,L100,TP100,2
1839,S11273,T1003,81.29,L100,TP100,2
1840,S11274,T1003,100,L100,TP100,2
1841,S11275,T1121,1092.59,L100,TP121,0
1842,S10441,T1049,1.7,L112,TP129,0
1843,S11276,T1000,27.21,L100,TP100,2
1844,S10071,T1004,6.85,L102,TP114,0
1845,S10441,T1049,1.9,L112,TP129,0
1846,S11277,T1080,74.21,L110,TP100,2
1847,S11278,T1040,84.99,L102,TP112,0
1848,S11279,T1083,243.29,L106,TP110,2
1849,S11280,T1038,20.3,L102,TP125,2
1850,S10397,T1003,380.39,L100,TP100,2
1851,S11281,T1003,419.46,L100,TP100,2
1852,S11282,T1013,7.46,L102,TP108,2
1853,S10501,T1003,11.39,L100,TP100,2
1854,S11283,T1022,1.99,L102,TP118,2
1855,S11284,T1088,4.3,L100,TP130,2
1856,S10071,T1004,13.57,L102,TP114,0
1857,S11285,T1022,8,L102,TP118,2
1858,S11286,T1013,13.29,L102,TP108,2
1859,S11287,T1004,1.9,L102,TP114,2
1860,S11288,T1004,6,L102,TP116,2
1861,S11289,T1000,21.7,L100,TP100,2
1862,S11290,T1000,150.47,L100,TP100,2
1863,S11291,T1003,40.69,L100,TP100,2
1864,S11292,T1004,4,L102,TP116,2
1865,S11293,T1013,10,L102,TP108,2
1866,S11294,T1004,897.11,L102,TP149,2
1867,S11295,T1013,0,L102,TP108,2
1868,S11295,T1013,0,L102,TP108,2
1869,S11296,T1040,99.94,L102,TP112,2
1870,S11297,T1037,7,L100,TP126,2
1871,S11298,T1004,7,L102,TP116,2
1872,S11299,T1000,39.83,L100,TP100,2
1873,S10447,T1015,5,L100,TP110,2
1874,S11300,T1122,510.88,L110,TP116,2
1875,S10085,T1008,11.9,L100,TP105,2
1876,S11301,T1013,15.81,L102,TP108,2
1877,S11302,T1003,41.4,L100,TP100,2
1878,S10385,T1013,8.89,L102,TP108,0
1879,S10385,T1013,8.89,L102,TP108,0
1880,S11303,T1013,28.82,L102,TP108,2
1881,S11304,T1118,12.97,L102,TP107,2
1882,S10084,T1008,60,L100,TP105,2
1883,S10073,T1085,26.83,L128,TP117,0
1884,S11305,T1023,3.77,L100,TP120,2
1885,S10385,T1013,38.77,L102,TP108,0
1886,S10501,T1003,10.1,L100,TP100,2
1887,S10483,T1077,91,L100,TP108,0
1888,S11306,T1013,11.19,L102,TP108,2
1889,S11307,T1038,8,L102,TP125,2
1890,S11308,T1004,6.17,L102,TP154,2
1891,S10483,T1077,95,L100,TP108,0
1892,S11309,T1123,151.81,L100,TP102,2
1893,S10385,T1013,7.95,L102,TP108,0
1894,S10379,T1004,4.05,L102,TP116,2
1895,S10383,T1004,53.83,L102,TP114,2
1896,S11310,T1023,3.42,L100,TP120,2
1897,S11311,T1000,39.89,L100,TP100,2
1898,S10502,T1004,655.45,L126,TP140,2
1899,S11312,T1013,16.12,L102,TP108,2
1900,S10483,T1077,95,L100,TP108,0
1901,S11313,T1000,326.45,L100,TP100,2
1902,S10144,T1011,8.61,L102,TP108,0
1903,S11314,T1118,13,L102,TP107,2
1904,S10483,T1077,92,L100,TP108,0
1905,S11315,T1023,3.49,L100,TP120,2
1906,S10483,T1077,98,L100,TP108,0
1907,S10361,T1061,149,L100,TP116,0
1908,S10431,T1072,100,L100,TP116,0
1909,S11316,T1124,3,L100,TP114,2
1910,S10026,T1008,11.91,L100,TP105,2
1911,S11317,T1004,18.18,L102,TP114,2
1912,S11318,T1013,3.9,L102,TP108,2
1913,S10483,T1077,96,L100,TP108,0
1914,S11319,T1046,0,L106,TP108,2
1915,S11320,T1013,9.69,L102,TP108,2
1916,S11321,T1125,446.97,L100,TP120,2
1917,S11322,T1013,7.14,L102,TP108,2
1918,S10483,T1077,90,L100,TP108,0
1919,S10383,T1004,33.63,L102,TP155,2
1920,S10385,T1013,36,L102,TP108,0
1921,S11323,T1126,583,L102,TP112,2
1922,S11324,T1004,8,L102,TP114,0
1923,S11325,T1008,11.96,L100,TP105,2
1924,S11326,T1105,3,L134,TP114,2
1925,S11327,T1088,10.94,L100,TP137,2
1926,S10187,T1004,27.93,L102,TP120,2
1927,S10324,T1008,11.97,L100,TP105,2
1928,S11328,T1004,2,L102,TP114,2
1929,S11329,T1038,0,L102,TP125,2
1930,S11330,T1003,6.63,L100,TP100,2
1931,S11331,T1013,11.63,L102,TP108,2
1932,S11332,T1013,29.37,L102,TP108,2
1933,S10808,T1019,4.91,L107,TP108,0
1934,S10073,T1058,34.07,L108,TP115,0
1935,S10556,T1023,9.33,L100,TP120,0
1936,S10549,T1023,46.24,L100,TP120,0
1937,S11333,T1023,2,L100,TP120,2
1938,S11334,T1013,14.19,L102,TP108,2
1939,S10502,T1004,530,L102,TP152,2
1940,S10082,T1008,11.91,L100,TP105,2
1941,S10555,T1023,1.7,L100,TP120,0
1942,S10508,T1037,10,L100,TP126,2
1943,S10456,T1004,0,L102,TP119,2
1944,S11335,T1013,8.96,L102,TP108,2
1945,S11336,T1127,94.24,L100,TP134,1
1946,S11337,T1013,13.95,L102,TP108,2
1947,S11338,T1025,140.97,L102,TP156,2
1948,S11339,T1037,60,L100,TP126,2
1949,S10349,T1011,0.69,L102,TP108,2
1950,S10082,T1008,11.93,L100,TP105,2
1951,S11340,T1105,6,L134,TP114,2
1952,S10626,T1011,300,L102,TP108,0
1953,S10483,T1077,96,L100,TP108,0
1954,S11341,T1008,9.94,L100,TP105,2
1955,S11342,T1053,32.9,L106,TP125,2
1956,S11343,T1023,1.55,L100,TP120,2
1957,S10077,T1008,11.95,L100,TP105,2
1958,S10040,T1000,0.38,L100,TP100,2
1959,S10063,T1038,2.2,L115,TP125,0
1960,S11344,T1003,146.5,L100,TP100,2
1961,S10063,T1038,78.56,L102,TP125,0
1962,S10063,T1038,107.34,L102,TP125,0
1963,S11345,T1000,53.92,L100,TP100,2
1964,S11346,T1000,39.83,L100,TP100,2
1965,S10040,T1000,0.2,L100,TP100,2
1966,S11347,T1000,7.6,L100,TP100,2
1967,S10063,T1038,25.69,L102,TP125,0
1968,S11348,T1003,16.14,L100,TP100,2
1969,S10513,T1019,9.61,L107,TP108,2
1970,S11349,T1046,230,L106,TP108,2
1971,S11350,T1046,402,L106,TP108,2
1972,S11351,T1046,93,L106,TP108,2
1973,S11352,T1108,38,L110,TP114,2
1974,S11353,T1053,16.29,L106,TP125,2
1975,S11354,T1046,94,L106,TP108,2
1976,S11355,T1046,84,L106,TP108,2
1977,S11356,T1046,213,L106,TP108,2
1978,S11357,T1046,152,L106,TP108,2
1979,S11358,T1003,26.56,L100,TP100,2
1980,S11359,T1045,10.29,L106,TP108,2
1981,S11360,T1045,2.75,L106,TP108,2
1982,S11361,T1046,75,L106,TP108,2
1983,S11362,T1046,145,L106,TP108,2
1984,S11363,T1106,27.13,L106,TP108,2
1985,S11364,T1045,13.1,L106,TP108,2
1986,S10486,T1046,20,L106,TP108,2
1987,S11365,T1045,3,L106,TP108,2
1988,S11366,T1046,250,L106,TP108,2
1989,S11336,T1001,173.35,L101,TP101,1
1990,S11367,T1000,3.47,L100,TP100,2
1991,S11368,T1015,184.07,L100,TP110,2
1992,S10085,T1008,11.92,L100,TP105,2
1993,S11203,T1008,11.99,L100,TP105,2
1994,S11369,T1000,5.93,L100,TP100,2
1995,S11203,T1008,11.91,L100,TP105,2
1996,S10122,T1000,971.67,L100,TP100,2
1997,S10078,T1008,11.99,L100,TP105,2
1998,S11048,T1128,1746.7,L140,TP157,0
1999,S11048,T1128,1746.1,L140,TP157,0
2000,S10013,T1003,10.97,L100,TP100,2
2001,S10142,T1011,9.14,L102,TP108,2
2002,S11370,T1025,53.41,L102,TP107,0
2003,S11371,T1000,32.82,L100,TP100,0
2004,S11372,T1129,62,L141,TP104,2
2005,S11373,T1000,68.8,L100,TP100,0
2006,S11374,T1000,29.6,L100,TP100,0
2007,S11166,T1008,11.9,L100,TP105,2
2008,S11375,T1015,2,L100,TP110,2
2009,S11376,T1084,42.08,L100,TP100,2
2010,S11377,T1130,233.4,L106,TP102,2
2011,S11378,T1086,2,L102,TP141,2
2012,S11379,T1025,60,L102,TP128,2
2013,S11166,T1008,11.95,L100,TP105,2
2014,S11380,T1013,17,L102,TP108,2
2015,S11381,T1016,784.41,L106,TP111,2
2016,S11252,T1003,80.44,L100,TP100,2
2017,S11382,T1004,7.06,L102,TP158,2
2018,S10122,T1000,323.88,L100,TP100,2
2019,S10085,T1008,11.91,L100,TP105,2
2020,S11383,T1000,51.78,L100,TP100,2
2021,S11384,T1002,68,L100,TP102,2
2022,S10327,T1000,78.85,L100,TP100,2
2023,S10091,T1023,9,L100,TP120,0
2024,S11385,T1003,140.42,L100,TP100,2
2025,S10375,T1045,11.66,L106,TP108,2
2026,S11166,T1008,11.94,L100,TP105,2
2027,S10385,T1013,10.84,L102,TP108,0
2028,S10385,T1013,10.84,L102,TP108,0
2029,S11166,T1008,11.91,L100,TP105,2
2030,S11386,T1122,511.52,L110,TP116,2
2031,S11387,T1035,14.96,L111,TP117,2
2032,S10085,T1008,11.98,L100,TP105,2
2033,S11388,T1004,22.97,L102,TP116,2
2034,S11389,T1003,40.74,L100,TP100,2
2035,S10489,T1008,11.97,L100,TP105,2
2036,S11390,T1023,1410,L100,TP120,2
2037,S10670,T1008,80,L100,TP105,2
2038,S10036,T1000,25.9,L100,TP100,0
2039,S11391,T1003,28.29,L100,TP100,0
2040,S11392,T1003,20.93,L100,TP100,0
2041,S10007,T1000,59.96,L100,TP100,0
2042,S10021,T1003,35.2,L100,TP100,0
2043,S11392,T1003,61.92,L100,TP100,0
2044,S11392,T1000,22.26,L100,TP100,0
2045,S11393,T1000,12.92,L100,TP100,2
2046,S11394,T1016,0,L106,TP111,0
2047,S11394,T1016,0,L106,TP111,0
2048,S11394,T1016,0,L106,TP111,0
2049,S11394,T1016,0,L106,TP111,0
2050,S11394,T1016,0,L106,TP111,0
2051,S10901,T1041,60,L100,TP102,0
2052,S10440,T1008,10,L100,TP105,2
2053,S11395,T1000,133.38,L100,TP100,2
2054,S11396,T1084,19.11,L100,TP100,2
2055,S11166,T1008,11.94,L100,TP105,2
2056,S11397,T1131,4,L102,TP128,2
2057,S11203,T1008,11.91,L100,TP105,2
2058,S11166,T1008,11.92,L100,TP105,2
2059,S11386,T1122,511.51,L110,TP116,2
2060,S11398,T1000,17.26,L100,TP100,2
2061,S11399,T1023,8,L100,TP120,2
2062,S11400,T1000,17.5,L100,TP100,2
2063,S11401,T1061,1011.4,L100,TP116,2
2064,S11402,T1003,22.7,L100,TP100,0
2065,S11403,T1000,17.7,L100,TP100,0
2066,S11404,T1000,27.7,L100,TP100,0
2067,S11404,T1000,40.13,L100,TP100,0
2068,S11404,T1000,48.16,L100,TP100,0
2069,S11403,T1000,35.21,L100,TP100,0
2070,S11166,T1008,11.95,L100,TP105,2
2071,S11405,T1027,0,L106,TP102,0
2072,S11166,T1008,11.92,L100,TP105,2
2073,S11406,T1008,80,L100,TP105,2
2074,S11407,T1027,0,L106,TP102,0
2075,S11408,T1023,1,L100,TP120,2
2076,S11409,T1038,0,L102,TP125,0
2077,S11409,T1038,0,L102,TP125,0
2078,S11410,T1004,9.18,L102,TP124,2
2079,S11411,T1000,0,L100,TP100,0
2080,S11203,T1008,11.98,L100,TP105,2
2081,S11166,T1008,11.99,L100,TP105,2
2082,S11203,T1008,11.95,L100,TP105,2
2083,S11166,T1008,11.9,L100,TP105,2
2084,S11412,T1023,15235.17,L100,TP120,2
2085,S11413,T1000,0,L100,TP100,0
2086,S11166,T1008,11.96,L100,TP105,2
2087,S10073,T1058,24.96,L108,TP115,0
2088,S10073,T1058,24.96,L108,TP115,0
2089,S10327,T1003,23.89,L100,TP100,2
2090,S11414,T1022,1.31,L102,TP118,2
2091,S11415,T1061,255.61,L100,TP116,2
2092,S11166,T1008,11.94,L100,TP105,2
2093,S11416,T1015,7,L100,TP110,2
2094,S10085,T1008,11.96,L100,TP105,2
2095,S11417,T1022,2.36,L102,TP118,2
2096,S11418,T1000,23.28,L100,TP100,1
2097,S11418,T1000,23.24,L100,TP100,0
2098,S11419,T1037,0,L100,TP126,2
2099,S11420,T1000,21.52,L100,TP100,2
2100,S11421,T1025,1,L102,TP112,2
2101,S11422,T1003,18.26,L100,TP100,2
2102,S10085,T1008,11.99,L100,TP105,2
2103,S11423,T1000,36.3,L100,TP100,2
2104,S10084,T1008,0,L100,TP105,2
2105,S11424,T1132,300,L106,TP116,2
2106,S11425,T1003,316.16,L100,TP100,2
2107,S11426,T1083,113.61,L106,TP110,2
2108,S11166,T1008,11.94,L100,TP105,2
2109,S10043,T1011,1,L102,TP108,1
2110,S10043,T1011,3,L102,TP108,0
2111,S11111,T1032,643.9,L102,TP123,2
2112,S11427,T1000,48.44,L100,TP100,2
2113,S10073,T1064,0,L102,TP110,0
2114,S10073,T1064,4,L102,TP110,0
2115,S11226,T1008,11.9,L100,TP105,2
2116,S11428,T1000,43.98,L100,TP100,2
2117,S11429,T1004,6,L102,TP116,2
2118,S10592,T1008,11.91,L100,TP105,2
2119,S11430,T1053,3.81,L106,TP125,2
2120,S11431,T1037,2491,L100,TP126,2
2121,S11432,T1025,4,L102,TP112,2
2122,S11433,T1000,73.66,L100,TP100,2
2123,S11226,T1008,11.96,L100,TP105,2
2124,S11434,T1004,0,L102,TP116,2
2125,S11226,T1008,11.92,L100,TP105,2
2126,S11435,T1133,60,L102,TP112,2
2127,S11436,T1134,178.1,L142,TP134,0
2128,S11436,T1134,178,L142,TP134,0
2129,S11427,T1003,25.8,L100,TP100,2
2130,S11437,T1004,3,L102,TP114,2
2131,S11438,T1022,1.68,L102,TP118,2
2132,S10489,T1008,11.96,L100,TP105,2
2133,S10327,T1000,11.36,L100,TP100,2
2134,S10327,T1003,21.34,L100,TP100,2
2135,S11037,T1111,6,L102,TP125,1
2136,S11037,T1111,5,L102,TP125,0
2137,S11439,T1122,510.46,L110,TP116,2
2138,S10098,T1008,11.91,L100,TP105,2
2139,S11440,T1022,0.57,L102,TP118,2
2140,S11441,T1003,86.6,L100,TP100,2
2141,S11442,T1000,62.79,L100,TP100,2
2142,S11443,T1004,15.88,L102,TP124,2
2143,S11041,T1029,134.6,L110,TP102,2
2144,S11444,T1002,52.4,L100,TP102,2
2145,S10327,T1003,47.69,L100,TP100,2
2146,S10073,T1135,54.82,L102,TP146,0
2147,S10073,T1135,54.85,L102,TP146,0
2148,S11445,T1004,179,L102,TP159,2
2149,S10098,T1008,11.92,L100,TP105,2
2150,S11446,T1004,8,L102,TP116,2
2151,S11447,T1047,76.92,L100,TP116,2
2152,S11448,T1004,54.15,L102,TP160,2
2153,S10144,T1011,4.79,L102,TP108,0
2154,S10144,T1011,4.78,L102,TP108,0
2155,S11449,T1032,214.93,L102,TP123,2
2156,S10144,T1011,5,L102,TP108,0
2157,S10144,T1011,5.01,L102,TP108,0
2158,S11450,T1136,360,L106,TP111,0
2159,S11450,T1136,390,L106,TP111,0
2160,S11451,T1002,73,L100,TP102,2
2161,S11452,T1000,28.56,L100,TP100,2
2162,S11453,T1000,38.31,L100,TP100,2
2163,S11454,T1061,148.1,L100,TP116,2
2164,S10164,T1000,86.56,L100,TP100,2
2165,S10342,T1004,143.93,L102,TP133,2
2166,S11455,T1011,19.37,L102,TP108,2
2167,S11456,T1004,10,L102,TP105,2
2168,S11457,T1000,31.91,L100,TP100,2
2169,S10867,T1008,11.9,L100,TP105,2
2170,S11458,T1122,510.03,L110,TP116,2
2171,S11459,T1000,48.49,L100,TP100,2
2172,S10867,T1008,11.92,L100,TP105,2
2173,S10013,T1000,45.91,L100,TP100,2
2174,S11460,T1025,6.2,L102,TP151,2
2175,S11461,T1003,27.1,L100,TP100,2
